ID_Vehiculo,Tipo,Ciudad_Destino,Num_Ciudades,Peso_kg,Capacidad_kg,Uso_Capacidad_%,Num_Paquetes,IDs_Paquetes,Km_Ruta
MOTO_1,Moto,Bucaramanga,1,0.025240000000000002,30,0.08413333333333334,8,"883,669,57,306,616,884,630,485",0.0
MOTO_2,Moto,Bucaramanga,1,0.02689,30,0.08963333333333334,3,"861,286,303",0.0
MOTO_3,Moto,Bucaramanga,1,0.022310000000000003,30,0.07436666666666668,2,"437,688",0.0
MOTO_4,Moto,Bucaramanga,1,0.02543,30,0.08476666666666667,2,"277,953",0.0
MOTO_5,Moto,Bucaramanga,1,0.02764,30,0.09213333333333333,2,"788,535",0.0
MOTO_6,Moto,Bucaramanga,1,0.01554,30,0.0518,1,939,0.0
MOTO_7,Moto,Bucaramanga,1,0.016399999999999998,30,0.054666666666666655,1,336,0.0
MOTO_8,Moto,Bucaramanga,1,0.01647,30,0.05489999999999999,1,863,0.0
MOTO_9,Moto,Bucaramanga,1,0.0198,30,0.06600000000000002,1,561,0.0
MOTO_10,Moto,Bucaramanga,1,0.02133,30,0.0711,1,768,0.0
MOTO_11,Moto,Bucaramanga,1,0.02213,30,0.07376666666666666,1,897,0.0
MOTO_12,Moto,Bucaramanga,1,0.02398,30,0.07993333333333334,1,175,0.0
MOTO_13,Moto,Bucaramanga,1,0.0249,30,0.08299999999999999,1,193,0.0
MOTO_14,Moto,Bucaramanga,1,0.02589,30,0.08629999999999999,1,20,0.0
MOTO_15,Moto,Bucaramanga,1,0.02614,30,0.08713333333333334,1,715,0.0
MOTO_16,Moto,Bucaramanga,1,0.02836,30,0.09453333333333333,1,520,0.0
MOTO_17,Moto,Bucaramanga,1,0.02924,30,0.09746666666666666,1,491,0.0
MOTO_18,Moto,Bucaramanga,1,30.94,30,103.13333333333334,1,461,0.0
MOTO_19,Moto,Bucaramanga,1,33.05,30,110.16666666666666,1,532,0.0
MOTO_20,Moto,Bucaramanga,1,35.32,30,117.73333333333333,1,955,0.0
MOTO_21,Moto,Bucaramanga,1,35.93,30,119.76666666666667,1,137,0.0
MOTO_22,Moto,Bucaramanga,1,37.97,30,126.56666666666668,1,721,0.0
MOTO_23,Moto,Bucaramanga,1,38.62,30,128.73333333333332,1,946,0.0
MOTO_24,Moto,Bucaramanga,1,42.25,30,140.83333333333334,1,444,0.0
MOTO_25,Moto,Bucaramanga,1,42.33,30,141.1,1,641,0.0
MOTO_26,Moto,Bucaramanga,1,43.64,30,145.46666666666667,1,528,0.0
MOTO_27,Moto,Bucaramanga,1,47.36,30,157.86666666666667,1,481,0.0
MOTO_28,Moto,Bucaramanga,1,47.71,30,159.03333333333333,1,759,0.0
MOTO_29,Moto,Bucaramanga,1,48.04,30,160.13333333333333,1,203,0.0
MOTO_30,Moto,Bucaramanga,1,51.35,30,171.16666666666666,1,935,0.0
MOTO_31,Moto,Bucaramanga,1,51.89,30,172.96666666666667,1,890,0.0
MOTO_32,Moto,Bucaramanga,1,52.69,30,175.63333333333333,1,312,0.0
MOTO_33,Moto,Bucaramanga,1,52.74,30,175.8,1,465,0.0
MOTO_34,Moto,Bucaramanga,1,54.51,30,181.7,1,388,0.0
MOTO_35,Moto,Bucaramanga,1,56.25,30,187.5,1,7,0.0
MOTO_36,Moto,Bucaramanga,1,58.0,30,193.33333333333334,1,659,0.0
MOTO_37,Moto,Bucaramanga,1,59.08,30,196.93333333333334,1,912,0.0
MOTO_38,Moto,Bucaramanga,1,59.22,30,197.4,1,421,0.0
MOTO_39,Moto,Bucaramanga,1,64.49,30,214.96666666666667,1,25,0.0
MOTO_40,Moto,Bucaramanga,1,64.96,30,216.53333333333333,1,467,0.0
MOTO_41,Moto,Bucaramanga,1,65.4,30,218.00000000000003,1,818,0.0
MOTO_42,Moto,Bucaramanga,1,66.47,30,221.56666666666663,1,219,0.0
MOTO_43,Moto,Bucaramanga,1,66.63,30,222.09999999999997,1,766,0.0
MOTO_44,Moto,Bucaramanga,1,69.47,30,231.56666666666666,1,216,0.0
MOTO_45,Moto,Bucaramanga,1,69.52,30,231.7333333333333,1,278,0.0
MOTO_46,Moto,Bucaramanga,1,71.52,30,238.39999999999998,1,662,0.0
MOTO_47,Moto,Bucaramanga,1,73.96,30,246.5333333333333,1,337,0.0
MOTO_48,Moto,Bucaramanga,1,74.22,30,247.39999999999998,1,402,0.0
MOTO_49,Moto,Bucaramanga,1,74.99,30,249.96666666666667,1,683,0.0
MOTO_50,Moto,Bucaramanga,1,75.6,30,252.0,1,682,0.0
MOTO_51,Moto,Pereira,1,0.025700000000000004,30,0.08566666666666668,6,"413,687,952,339,198,488",0.0
MOTO_52,Moto,Pereira,1,0.02512,30,0.08373333333333334,3,"87,792,517",0.0
MOTO_53,Moto,Pereira,1,0.022490000000000003,30,0.07496666666666668,2,"370,577",0.0
MOTO_54,Moto,Pereira,1,0.026969999999999997,30,0.0899,2,"96,938",0.0
MOTO_55,Moto,Pereira,1,0.01727,30,0.05756666666666667,1,851,0.0
